sifra proizvoda,naziv proizvoda,sifra sirovine,naziv sirovine,jedinica mjere sirovine,količina,jedinica mjere,dužina,širina,visina,komada,kantiranje
123,PLUTON 160 x 200,21,Štof okolica Riviera,m,2.5,Madrac,,,,,
123,PLUTON 160 x 200,31,Streč folija 23my 5kg,rol,0.03706449222,Korpus(baza),,,,,
123,PLUTON 160 x 200,32,Klamerica 380/10 delta,milla,0.3,Uzglavlje,,,,,
123,PLUTON 160 x 200,33,Klamerica 380/14,milla,0.3,Sijeda,,,,,
123,PLUTON 160 x 200,33,Klamerica 380/14 B,milla,0.1,Uzglavlje,,,,,
123,PLUTON 160 x 200,33,Klamerica 380/14 B,milla,0.35,Korpus(baza),,,,,
123,PLUTON 160 x 200,34,Klamerica 14/35,milla,0.1,Korpus(baza),,,,,
123,PLUTON 160 x 200,34,Klamerica 14/35,milla,0.3,Sijeda,,,,,
123,PLUTON 160 x 200,34,Klamerice 14/35,milla,0.3,Uzglavlje,,,,,
123,PLUTON 160 x 200,39,Unit Matica,kom,8,Sijeda,,,,,
123,PLUTON 160 x 200,54,Amortizer 750 S,kom,4,Korpus(baza),,,,,
123,PLUTON 160 x 200,55,Termo vata 200 gr,kg,0.777,Madrac,210,185,0.2,1,
123,PLUTON 160 x 200,64,Čičak 20mm 25m ,m,0.1,Uzglavlje,,,,,
123,PLUTON 160 x 200,65,"Reteks 120 gr, 200 cm Art, Stichpond",m2,2.2568,Sijeda,182,62,,2,
123,PLUTON 160 x 200,83,Unit Matica M6 ili M8 ,kom,16,Korpus(baza),,,,,
123,PLUTON 160 x 200,86,Ljepilo za drvo Vinavil 2252 ,kg,0.2,Sijeda,,,,,
123,PLUTON 160 x 200,86,Ljepilo za drvo Vinavil 2252  ,kg,0.05,Uzglavlje,,,,,
123,PLUTON 160 x 200,88,Reteks 14 gr 210 ,m2,7.77,Madrac,210,185,,2,
123,PLUTON 160 x 200,90,Podloška M8,kom,2,Uzglavlje,,,,,
123,PLUTON 160 x 200,111,Štof Riviera,m,2.5,Sijeda,,,,,
123,PLUTON 160 x 200,111,Štof Riviera,m,2.8,Korpus(baza),,,,,
123,PLUTON 160 x 200,111,Štof Riviera,m,3.2,Uzglavlje,,,,,
123,PLUTON 160 x 200,220,Srivena štelujuća nogica 13 cm - Crna,,6,Korpus(baza),,,,,
123,PLUTON 160 x 200,226,Torban vijak M6x100 cink T,kom,2,Korpus(baza),,,,,
123,PLUTON 160 x 200,231,"Vijak DIN 933-8.8, M8x40 ",kom,2,Uzglavlje,,,,,
123,PLUTON 160 x 200,246,Podloška M6,kom,2,Korpus(baza),,,,,
123,PLUTON 160 x 200,384,Mehanizam - Škara Sanduk srednji EXSAN -Makaze ,par,2,Korpus(baza),,,,,
123,PLUTON 160 x 200,387,Leptir matica,kom,2,Uzglavlje,,,,,
123,PLUTON 160 x 200,389,Vijak mašinski 6x20,kom,8,Korpus(baza),,,,,
123,PLUTON 160 x 200,398,Ljepilo intercoll 1718 1/170 S,kg,0.1,Korpus(baza),,,,,
123,PLUTON 160 x 200,398,Ljepilo intercoll 1718 1/170 S,kg,0.1,Sijeda,,,,,
123,PLUTON 160 x 200,398,Ljepilo intercoll 1718 1/170 S,kg,0.1,Uzglavlje,,,,,
123,PLUTON 160 x 200,398,Ljepilo intercoll 1718 1/170 S,kg,0.6,Madrac,,,,,
123,PLUTON 160 x 200,498,Filc tvrdi 500 gr/m 210x2500,kg,1.9425,Madrac,210,185,0.5,1,
123,PLUTON 160 x 200,503,Džepičasto jezgro 188x148x14 ,kom,1,Madrac,,,,,
123,PLUTON 160 x 200,520,Platno za madrace J49 280 gr. JT,m,3.7,Madrac,,,,2,
123,PLUTON 160 x 200,543,Nogica 8030 BLACK 13 cm B,kom,2,Korpus(baza),,,,,
123,PLUTON 160 x 200,569,Ljepljiva traka 48x66 ,kom,0.2222222222,Madrac,,,,,
123,PLUTON 160 x 200,569,Ljepljiva traka 48x66 ,kom,0.1,Uzglavlje,,,,,
123,PLUTON 160 x 200,594,Leptir matica M6,kom,2,Korpus(baza),,,,,
123,PLUTON 160 x 200,794,"Retex 70gr/m 1,6m ",m,2,Uzglavlje,1.6,2,,,
123,PLUTON 160 x 200,857,Termo vata ,kg,0.567,Uzglavlje,210,90,0.3,1,
123,PLUTON 160 x 200,857,Termo vata 300 gr,kg,1.1655,Madrac,210,185,0.3,1,
123,PLUTON 160 x 200,953,Retex 70 gr/m ,m,2,Sijeda,2.1,100,,,
123,PLUTON 160 x 200,1132,Valoviti karton_Bigovana trakica troslojna,kom,2,Uzglavlje,,,,,
123,PLUTON 160 x 200,1132,Valoviti karton_Bigovana trakica troslojna,kom,4,Korpus(baza),,,,,
124,Elba 160X200,858,Bijela iverica 16mm,m2,0.9552,,199,24,,2,1
124,Elba 160X200,858,Bijela iverica 16mm,m2,0.36384,,75.8,24,,2,1
124,Paris  160x200,858,Bijela iverica 16mm,m2,1.0746,,199,27,,2,1
124,Paris  160x200,858,Bijela iverica 16mm,m2,0.40932,,75.8,27,,2,1
124,Agro 180X200,37,Bijeli lesonit 3mm,m2,3.5422,,199,89,,2,
124,AGRO 180X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.01696,,,,,,
124,AGRO 180X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.01,,,,,,
124,AGRO 180X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.00864,,,,,,
124,AGRO 180X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.004209,,,,,,
124,AGRO 180X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.0038,,,,,,
124,AGRO 180X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.00302,,,,,,
124,AGRO 180X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.003,,,,,,
124,AGRO 180X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.0015,,,,,,
124,AGRO 180X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.0015,,,,,,
124,AGRO 180X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.00016,,,,,,
124, Agro  180x200,281,HR 35,kg,2.38875,Madrac,195,175,2,1,
124,Agro 180X200,897,IVERICA 16MM 2800-2070 I KLASA,m2,1.2648,,186,68,,1,
124,Agro 180X200,897,IVERICA 16MM 2800-2070 I KLASA,m2,0.6538,,186.8,35,,1,
124,Agro 180X200,897,IVERICA 16MM 2800-2070 I KLASA,m2,0.304,,190,8,,2,
124,Agro 180X200,897,IVERICA 16MM 2800-2070 I KLASA,m2,0.21888,,136.8,8,,2,
124,AGRO 180X200 krevet + madrac,41,"Lesonit sirovi 2,8x2,07 B",m2,1.995,,,,,,
124, Agro  180x200,302,S-20,kg,0.6,Uzglavlje,200,75,2,1,
124, Agro  180x200,302,S-20,kg,0.39552,Baza ,206,96,1,2,
124, Agro  180x200,302,S-20,kg,0.0984,Baza ,205,24,1,2,
124, Agro  180x200,302,S-20,kg,0.0456,Baza ,95,24,1,2,
124,Agro 180X200,41,Sirovi lesnit 3mm,m2,3.5422,,199,89,,2,
124,AGRO 180X200 krevet + madrac,303,Spužva VA 4015 SP,kg,3.023,,,,,,
124, Agro  180x200,232,Spužva VH 2538 SP,kg,3.5244,Madrac,198,178,4,2,
124, Agro  180x200,232,Spužva VH 2538 SP,kg,1.70625,Madrac,195,175,2,1,
124, Agro  180x200,232,Spužva VH 2538 SP,kg,0.483,Madrac,184,15,7,2,
124, Agro  180x200,232,Spužva VH 2538 SP,kg,0.46725,Madrac,178,15,7,2,
124,AGRO 180 x 200,13,Paspul Traka-Opšivna traka 40mm ,m,24,Madrac,,,,,
124,AGRO 180 x 200,31,Streč folija 23my 5kg,rol,0.03706449222,Korpus(baza),,,,,
124,AGRO 180 x 200,32,Klamerica 380/10 delta,milla,0.3,Uzglavlje,,,,,
124,AGRO 180 x 200,33,Klamerica 380/14,milla,0.3,Sijeda,,,,,
124,AGRO 180 x 200,33,Klamerica 380/14 B,milla,0.1,Uzglavlje,,,,,
124,AGRO 180 x 200,33,Klamerica 380/14 B,milla,0.35,Korpus(baza),,,,,
124,AGRO 180 x 200,34,Klamerica 14/35,milla,0.1,Korpus(baza),,,,,
124,AGRO 180 x 200,34,Klamerica 14/35,milla,0.3,Sijeda,,,,,
124,AGRO 180 x 200,34,Klamerice 14/35,milla,0.3,Uzglavlje,,,,,
124,AGRO 180 x 200,39,Unit Matica,kom,8,Sijeda,,,,,
124,AGRO 180 x 200,54,Amortizer 750 S,kom,4,Korpus(baza),,,,,
124,AGRO 180 x 200,55,Termo vata 200 gr,kg,0.861,Madrac,210,205,0.2,1,
124,AGRO 180 x 200,64,Čičak 20mm 25m ,m,0.1,Uzglavlje,,,,,
124,AGRO 180 x 200,65,"Reteks 120 gr, 200 cm Art, Stichpond",m2,2.2568,Sijeda,182,62,,2,
