sifra proizvoda,naziv proizvoda,opis,dimenzije,tip,grupa artikla,jedinica mjere,neaktivan,valuta,dio,dimenzije dijela,napomene dijela,naziv koraka,odjel,procijenjeno vrijeme,instrukcije,sifra sirovine,naziv sirovine,količina,komada,Duzina,Sirina,Visina,kantiranje,cijena bez PDV,procenat PDV
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,Stolari,STROLARI,,,897,Sirova iverica  16 mm B,0.16,2,200,4,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,Stolari,STROLARI,,,897,Sirova iverica  16 mm B,0.375,5,125,6,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,Stolari,STROLARI,,,232,SPUŽVA T-25,0.78,1,165,63,3,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,Stolari,STROLARI,,,232,SPUŽVA T-25,0.17,2,125,18,3,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Madrac,,,Stolari,STROLARI,,,303,Spužva VH 2538 SP,1.5642,2,198,158,2,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Madrac,,,Stolari,STROLARI,,,303,Spužva VH 2538 SP,1.5642,2,198,158,2,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Madrac,,,Stolari,STROLARI,,,303,Spužva VH 2538 SP,1.5642,2,198,158,2,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,388,Stolna matica M8,28,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,Stolari,STROLARI,,,31,Streč folija 23my 5kg,0.07,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,1187,Štancana kutija - Kartonski poklopac samosklopivi manji/veći,4,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,366,štof ,2,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,Stolari,STROLARI,,,366,ŠTOF  NEVE,3,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Madrac,,,Stolari,STROLARI,,,862,ŠTOF MOCA 10,1.3,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Madrac,,,Stolari,STROLARI,,,513,Termo vata (filc) 100 gr (210) A,0.357,2,210,170,0.1,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,395,Torban 6x40,8,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,Stolari,STROLARI,,,1131,Valoviti karton BIGOVANA TRAKA 250X3000,3,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,393,"Vijak samorezač 3,9x22",8,,,,,,,17
