sifra proizvoda,naziv proizvoda,opis,dimenzije,tip,grupa artikla,jedinica mjere,neaktivan,valuta,dio,dimenzije dijela,napomene dijela,naziv koraka,odjel,procijenjeno vrijeme,instrukcije,sifra sirovine,naziv sirovine,količina,komada,Duzina,Sirina,Visina,kantiranje,cijena bez PDV,procenat PDV
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,302,PU Oblikovani 20 T piling - 150 O,0.3,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,302,PU Oblikovani 20 T piling - 150 O,0.3,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,822,PVC držač za ivericu,12,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,822,PVC držač za ivericu,8,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,541,PVC nogica 12 cm STAR crna,4,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,532,PVC nogica sa navojem 12 cm crna KRUŠKA,4,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,821,PVC prsten za kapak 3cm,8,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,823,PVC ručka za bazu crna,2,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,535,PVC stoper (okrugli) za bazu,8,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,820,PVC zaštitnik (osigurač crveni),2,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Madrac,,,,,,,88,"Reteks 14 gr, 210 cm bijeli T",7.14,2,210,170,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,,,,,794,"Reteks 70 gr, 160 cm crni",3.68,,230,160,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,569,Selotejp 48mm x 66m (000588),0.1,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,,,,,569,Selotejp 48mm x 66m (000588),0.15,,,,,,,17
135,Marina 180x200,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,Stolari,Stolari,,,858,Bijela iverica 16mm,0.63728,4,113.8,14,,1,,17
135,Noa 180X200,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,Stolari,Stolari,,,37,Bijeli lesonit 3mm,3.5422,2,199,89,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,Stolari,Stolari,,,494,"Dvostrana iverica 210x280x0,8 mm",0.45,,,,,,,17
135,Noa 180X200,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,Stolari,Stolari,,,897,IVERICA 16MM 2800-2070 I KLASA,1.2648,1,186,68,,,,17
135,Noa 180X200,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,Stolari,Stolari,,,897,IVERICA 16MM 2800-2070 I KLASA,0.6538,1,186.8,35,,,,17
135,Noa 180X200,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,Stolari,Stolari,,,897,IVERICA 16MM 2800-2070 I KLASA,0.304,2,190,8,,,,17
135,Noa 180X200,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,Stolari,Stolari,,,897,IVERICA 16MM 2800-2070 I KLASA,0.21888,2,136.8,8,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,Stolari,Stolari,,,493,"Jednostrana iverica 210x280x0,8 mm",0.75,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,Stolari,Stolari,,,493,"Jednostrana iverica 210x280x0,8 mm",0.165,,,,,,,17
135,Noa 180X200,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,Stolari,Stolari,,,41,Sirovi lesnit 3mm,3.5422,2,199,89,,,,17
135,Alfa  160x200,,160X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,Stolari,Stolari,,,858,Bijela iverica 16mm,0.40932,2,75.8,27,,1,,17
135,Marina 160x200,,160X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,Stolari,Stolari,,,858,Bijela iverica 16mm,0.63728,4,113.8,14,,1,,17
135,Marina 160x200,,160X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,Stolari,Stolari,,,858,Bijela iverica 16mm,0.364,4,65,14,,1,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,BRAVARI,BRAVARI,,,416,Metalni profili 20x30x1 mm,9.09,2,454.5,20,30,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,BRAVARI,BRAVARI,,,416,Metalni profili 20x30x1 mm,7.96,4,199,20,30,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,BRAVARI,BRAVARI,,,416,Metalni profili 20x30x1 mm,3.32,4,83,20,30,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,BRAVARI,BRAVARI,,,416,Metalni profili 20x30x1 mm,1.57,2,78.5,20,30,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,937,ADHESIVE 15/1 KG - LJEPILO ZA SPUŽVU,0.02,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,54,Amortizer 750,4,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,391,Čelični ekser ST 25 za bazu,0.05,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,809,"Daska 24mm - 3m, suha#",0.0045,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,502,Džepičasto jezgro 144x184x15 (65.150.4.180.00.0.0000) 24x29,1,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,498,Filc 900 gr,2.816,,,,,,,17
135,Noa 180x200,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Madrac,,,,,,,281,HR 35,2.38875,1,195,175,2,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,34,KLAMERICA 14/35 PAK 10000/1,0.2,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,32,Klamerica 380/10 delta 10.000/1 M,0.2,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,390,Klizač za uzglavlje 19cm,2,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,387,Leptir matica M8 PVC,4,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,398,Ljepilo za spužvu,0.01,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,398,Ljepilo za spužvu,0.007,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,427,Madrac platno 10008386 (65 gr) +AT10001632 75 gr,1.7,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,427,Madrac platno 10008386 (65 gr) +AT10001632 75 gr,1.7,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,384,Makaze za bazu,2,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,389,"Mašinac 8x25-M. Vijak din 933 kv 5,8",22,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,396,Matica M6,8,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,415,"Metalni profil 20x20x0,8 mm",5.94,30,19.8,20,20,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,415,"Metalni profil 20x20x0,8 mm",7.96,4,199,20,20,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,415,"Metalni profil 20x20x0,8 mm",7.85,10,78.5,20,20,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,415,"Metalni profil 20x20x0,8 mm",6.64,8,83,20,20,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,415,"Metalni profil 20x20x0,8 mm",3.4,4,85,20,20,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,873,Najlon za pakovanje baze 80x16+16x245 100 mic,2,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,869,Najlon za pakovanje madraca 160x19+19x250 100mic,1,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,449,Paspul traka bež/crna 45 mm,16,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,95,PU Oblikovani 20 T piling - 210 O,1.428,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,813,PU Oblikovani 20T piling - 140 O,0.9,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,813,PU Oblikovani 20T piling - 140 O,0.38,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,813,PU Oblikovani 20T piling - 140 O,0.3,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,822,PVC držač za ivericu,12,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,541,PVC nogica 12 cm STAR crna,2,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,532,PVC nogica sa navojem 12 cm crna KRUŠKA,6,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,821,PVC prsten za kapak 3cm,10,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,537,PVC ručka za bazu crna,2,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,535,PVC stoper (okrugli) za bazu,8,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,825,PVC zaštitnik za bazu,2,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,88,"Reteks 14 gr, 210 cm bijeli T",7.14,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,794,"Reteks 70/60gr, 160 cm crni",4,,,,,,,17
135,Noa 180x200,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Uzglavlje,,,,,,,302,S-20,0.6,1,200,75,2,,,17
135,Noa 180x200,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Baza ,,,,,,,302,S-20,0.39552,2,206,96,1,,,17
135,Noa 180x200,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Baza ,,,,,,,302,S-20,0.0984,2,205,24,1,,,17
135,Noa 180x200,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Baza ,,,,,,,302,S-20,0.0456,2,95,24,1,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,569,Selotejp 48mmx66m - Super clear I,0.1,,,,,,,17
135,NOA 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,,,,,,,,569,Selotejp 48mmx66m - Super clear I,0.1,,,,,,,17
135,Noa 180x200,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Madrac,,,,,,,232,Spužva VH 2538 SP,3.5244,2,198,178,4,,,17
135,Noa 180x200,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Madrac,,,,,,,232,Spužva VH 2538 SP,1.70625,1,195,175,2,,,17
135,Noa 180x200,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Madrac,,,,,,,232,Spužva VH 2538 SP,0.483,2,184,15,7,,,17
135,Noa 180x200,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Madrac,,,,,,,232,Spužva VH 2538 SP,0.46725,2,178,15,7,,,17
