"Demo Company d.o.o.
76100 Brčko, Brod bb
JIB: 4600471110010   PDV: 600471110002
žiro-račun: 
",,,,,,
txtNazivSkladista,txtNazivKategorijeArtikla,RedniBroj,Sifra,NazivArtikla,JedinicaMjere,KOLICINA
Sirovine,,,,,,
,sirovina,,,,,
,,116,870,Najlon za pakovanje madraca 180x15+15x240 100mic,kom,"1,051.00"
,,117,871,Najlon za pakovanje madraca 180x17+17x245 100mic,kom,455.00
,,118,872,Najlon za pakovanje madraca 180x19+19x250 100 mic,kom,160.00
,,119,875,Najlon za pakovanje uzglavlja 170x8+8x150 100 mic,kom,693.00
,,120,876,Najlon za pakovanje uzglavlja 190x8+8x150 100 mic,kom,369.00
,,121,1077,Nastavak za crijevo za zrak,kom,30.00
,,122,1064,NOGICA 6036 BIJELA 12CM,kom,20.00
,,123,286,Nogica 6052 black B 17cm,kom,70.00
,,124,51,Nogica 8030 BLACK 13 cm B,kom,"-1,242.00"
,,125,71,Nogica KALE 12cm Mat Crna M,kom,476.00
,,126,1080,Nož za spužvu,kom,10.00
,,127,42,Oplemenjena iverica bijela 16 mm B,m2,0.00
,,128,12,Paspul Traka - Opšivna traka 40mm Bijela,m,0.00
,,129,13,Paspul Traka - Opšivna traka 40mm Crna,m,"11,400.00"
,,130,787,Paspul traka - Opšivna traka 45mm Bijela,m,"5,538.90"
,,131,290,Paspul traka 42 mm Bijela T,m,"10,000.00"
,,132,450,Paspul traka antracit bijela 45 mm,m,"1,800.00"
,,133,454,Paspul traka antracit crna 45 mm,m,"3,700.00"
,,134,452,Paspul traka bež/bijela 45 mm,m,"4,500.00"
,,135,449,Paspul traka bež/crna 45 mm,m,"-1,560.00"
,,136,455,Paspul traka bijela 42 mm,m,"15,000.00"
,,137,456,Paspul traka crna 42 mm,m,"4,400.00"
,,138,1086,Paspul traka crna 45mm,m,"15,000.00"
,,139,451,Paspul traka siva/bijela 45 mm,m,"2,000.00"
,,140,793,Piling 220x40x2,kg,404.40
,,141,826,Piling 220x80x1,kg,195.10
,,142,392,Pištolj za čelični ekser za bazu,kom,2.00
,,143,1085,Pištolj za pumpu za bacanje ljepila,kom,2.00
,,144,1075,Pištolj za tapaciranje 80/16 AKD,kom,6.00
,,145,1078,Pištolj za zrak dugi,kom,2.00
,,146,1079,Pištolj za zrak kratki,kom,2.00
,,147,1228,Plastična nogica crna 13/18,kom,"1,050.00"
,,148,812,Platno - Vellsoft antrasit,m,42.31
,,149,811,Platno - Vellsoft natural,m,290.00
,,150,57,Platno za madrace J49 280 gr. JT,m,0.00
,,151,394,Podloška 1/4 6M 1mm,kg,-304.00
,,152,90,"Podloška DIN 9021, M8",kom,"4,876.00"
,,153,94,PU Format 50 V O,kg,0.00
,,154,96,PU Oblikovani 20 T piling - 150 O,kg,0.00
,,155,95,PU Oblikovani 20 T piling - 210 O,kg,"2,452.61"
,,156,97,PU Oblikovani 20 T Piling O,kg,0.00
,,157,813,PU Oblikovani 20T piling - 140 O,kg,252.00
,,158,1084,Pumpa za bacanje ljepila,kom,1.00
,,159,818,PVC BOHAM NOGICA 12CM CRNA,kom,980.00
,,160,819,PVC BOHAM NOGICA 15CM CRNA,kom,"3,800.00"
,,161,822,PVC držač za ivericu,kom,"21,428.00"
,,162,824,PVC element 25x19 za ćoškove baze,kom,"1,840.00"
,,163,542,PVC nogica 12 cm STAR bijela,kom,450.00
,,164,541,PVC nogica 12 cm STAR crna,kom,688.00
,,165,543,PVC nogica 12 cm STAR krom,kom,475.00
,,166,533,PVC nogica sa navojem 12 cm bijela KRUŠKA,kom,320.00
,,167,532,PVC nogica sa navojem 12 cm crna KRUŠKA,kom,"4,864.00"
,,168,538,PVC nogica sa navojem smeđa KRUŠKA,kom,330.00
,,169,399,PVC Nogica VINKLO 14x14x4 cm,kom,"3,150.00"
,,170,400,PVC pomoćna nogica 4 cm,kom,"1,608.00"
,,171,821,PVC prsten za kapak 3cm,kom,"8,840.00"
,,172,536,PVC ručka za bazu bijela,kom,388.00
,,173,823,PVC ručka za kapak za bazu,kom,"2,500.00"
,,174,534,PVC skrivena nogica 6 cm,kom,"2,000.01"
,,175,535,PVC stoper (okrugli) za bazu,kom,"6,644.00"
,,176,820,PVC zaštitnik (osigurač crveni),kom,"3,500.00"
,,177,825,PVC zaštitnik za bazu,kom,"11,488.00"
,,178,178,Rajfešlus 7 metražni 1/100 P,m,"3,344.80"
,,179,65,"Reteks 120 gr, 200 cm Art, Stichpond, crni T",m2,"1,848.69"
,,180,279,"Reteks 14 gr, 160 cm bijeli  t",m2,"9,600.00"
,,181,88,"Reteks 14 gr, 210 cm bijeli T",m2,"91,411.08"
,,182,933,"Reteks 40 gr, 160 cm bijeli",m2,"2,560.00"
,,183,794,"Reteks 70 gr, 160 cm crni",m2,"5,547.52"
,,184,953,"Reteks 70 gr, 205 cm, crni",m2,968.20
,,185,67,"Reteks 70 gr/m 1,6 m širina - Crni B1",m,0.00
,,186,437,Ručke za madrace 11/14 5x30,kom,"1,252.00"
,,187,436,Ručke za madrace 19/20 5x30,kom,"1,256.00"
,,188,192,Ručkica ukopavajuća kocka B,kom,70.00
,,189,1083,Rukavice za varioce,kom,50.00
,,190,932,"Samor. Vijak 7504p 3,9x32",kom,"5,000.00"
,,191,617,Selotejp 48mm x 66m (000588),kom,0.00
,,192,569,Selotejp 48mmx66m - Super clear I,kom,328.64
,,193,38,Sirova iverica  16 mm B,m3,0.00
,,194,1206,Sirova iverica 18 mm,m2,47.04
,,195,340,Skrivena PVC nogica 12cm - crna,kom,170.00
,,196,220,Skrivena štelujuća nogica 13 cm - Crna,kom,"1,440.00"
,,197,864,Skrivena štelujuća nogica 15cm - Crna,kom,875.00
,,198,242,"Skrivena štelujuća nogica 16,80 cm- Crna",kom,770.00
,,199,417,Spužva 18kg 210x1 cm,m3,99.33
,,200,281,Spužva HR 3536 SP,kg,"1,546.50"
,,201,180,Spužva Mljevena,kg,304.50
,,202,883,Spužva NF 1830 SP,kg,104.40
,,203,35,Spužva PU Format 20T O,kg,0.00
,,204,36,Spužva PU Format 25T O,kg,0.00
,,205,44,Spužva PU Format 30T O,kg,0.00
,,206,93,Spužva PU Format 35 HR O,kg,0.00
,,207,303,Spužva VA 4015 SP,kg,874.99
,,208,302,Spužva VH 2130 SP,kg,"1,026.96"
,,209,232,Spužva VH 2538 SP,kg,"5,598.91"
,,210,486,Spužva VH 3040 SP,kg,141.20
,,211,300,Spužva VH 3050 SP,kg,0.00
,,212,1187,Štancana kutija - Kartonski poklopac samosklopivi manji,kom,"3,835.00"
,,213,70,Štep deka madrac platno,m,0.00
,,214,238,Štep deka Monolith,m,7.00
,,215,1151,Štep deka Zenit,m,8.00
,,216,1143,Štof Adventure 23,m,8.00
,,217,206,Štof Alhambra 101 S,m,95.00
,,218,248,Štof Almeria 103 (Bari 102) SE,m,8.00
,,219,283,Štof Almeria 108 (Bari 109) SE,m,97.40
,,220,209,Štof Amsterdam 103,m,19.00
,,221,120,Štof Amsterdam 105,m,19.00
,,222,215,Štof Amsterdam 110,m,16.00
,,223,879,Štof Aurum 107,m,161.30
,,224,63,Štof Aurum 126,m,0.00
,,225,1238,Štof Bari 104,m,10.00
,,226,612,Štof Bari 106,m,3.50
,,227,330,Štof Bari 110,m,3.50
,,228,960,Štof Barrel 09,m,21.00
,,229,699,Štof Camel 002,m,16.00
,,230,121,Štof Camel 102,m,"-1,301.08"
,,231,615,Štof Camel 103,m,147.90
,,232,912,Štof Camel 105,m,15.00
,,233,616,Štof Camel 118,m,100.70
,,234,698,Štof Camel 135,m,15.51
,,235,236,Štof Camel 200,m,0.01
,,236,344,Štof Castel 15,m,10.00
,,237,1295,Štof Castel 20,m,15.00
,,238,377,Štof Castel 74,m,3.50
,,239,575,Štof Castel 93,m,51.60
,,240,747,Štof Cloud 03,m,27.70
,,241,1067,Štof Cloud 33,m,15.00
,,242,978,Štof Cloud 39,m,5.00
,,243,748,Štof Cloud 60,m,8.00
,,244,572,Štof Cloud 81,m,23.70
,,245,854,Štof Cloud 83,m,7.80
,,246,1230,Štof Cloud 84,m,15.00
,,247,790,Štof Cloud 87,m,4.00
,,248,1065,Štof Cloud 91,m,27.30
