ArtikalNaziv,ArtikalSifra,JedinicaMjere,FakturnaCijena,TrenutnaKolicina,MinimalnaKolicina,Dobavljaci
"Podloška DIN 9021, M8",90,kom,,0,0,
Podloška M6 T,246,kom,,0,0,
Posuda za špric ljepilo,401,kom,,0,0,
PU Format 50 V O,94,kom,,0,0,
PU Oblikovani 20 T piling - 150 O,96,kom,,0,0,
PU Oblikovani 20 T piling - 210 O,95,kom,,0,0,
PU Oblikovani 20 T Piling O,97,kom,,0,0,
PU Oblikovani 20T piling - 140 O,813,kom,,0,0,
PU Ploča 30T O,251,kom,,0,0,
Pumpa za bacanje ljepila,1084,kom,,0,0,
PVC BOHAM NOGICA 12CM CRNA,818,kom,,0,0,
PVC BOHAM NOGICA 15CM CRNA,819,kom,,0,0,
PVC čep za ventilaciju baze,544,kom,,0,0,
PVC držač za ivericu,822,kom,,0,0,
PVC element 25x19 za ćoškove baze,824,kom,,0,0,
PVC nogica 12 cm STAR bijela,542,kom,,0,0,
PVC nogica 12 cm STAR crna,541,kom,,0,0,
PVC nogica 12 cm STAR krom,543,kom,,0,0,
PVC nogica sa navojem 12 cm bijela KRUŠKA,533,kom,,0,0,
PVC nogica sa navojem 12 cm crna KRUŠKA,532,kom,,0,0,
PVC nogica sa navojem smeđa KRUŠKA,538,kom,,0,0,
PVC Nogica VINKLO 14x14x4 cm,399,kom,,0,0,
PVC pomoćna nogica 4 cm,400,kom,,0,0,
PVC prsten za kapak 3cm,821,kom,,0,0,
PVC ručka za bazu bijela,536,kom,,0,0,
PVC ručka za bazu crna,537,kom,,0,0,
PVC ručka za kapak za bazu,823,kom,,0,0,
PVC skrivena nogica 6 cm,534,kom,,0,0,
PVC skriveni osigurač za baze,540,kom,,0,0,
PVC stoper (okrugli) za bazu,535,kom,,0,0,
PVC zaštitnik (osigurač crveni),820,kom,,0,0,
PVC zaštitnik za bazu,825,kom,,0,0,
Rajfešlus 7 metražni 1/100 P,178,kom,,0,0,
Reslo bukove daske,565,kom,,0,0,
"Reteks 120 gr, 200 cm Art, Stichpond, crni T",65,kom,,0,0,
"Reteks 14 gr, 160 cm bijeli  t",279,kom,,0,0,
"Reteks 14 gr, 210 cm bijeli T",88,kom,,0,0,
"Reteks 14 gr,230 cm bijeli T",53,kom,,0,0,
"Reteks 40 gr, 160 cm bijeli",933,kom,,0,0,
"Reteks 70 gr, 205 cm, crni",953,kom,,0,0,
"Reteks 70 gr/m 1,6 m širina - Crni B1",67,kom,,0,0,
"Reteks 70/60gr, 160 cm crni",794,kom,,0,0,
Rezanje iverice po ploči,196,kom,,0,0,
Rezanje lesonita po ploči,195,kom,,0,0,
Rezervni nož 5,931,kom,,0,0,
Ručke za madrace 11/14 5x30,437,kom,,0,0,
Ručke za madrace 19/20 5x30,436,kom,,0,0,
Ručkica ukopavajuća kocka B,192,kom,,0,0,
Rukavice za varioce,1083,kom,,0,0,
"Samor. Vijak 7504p 3,9x32",932,kom,,0,0,
Šarafciger T,631,kom,,0,0,
Selotejp 48mm x 66m (000588),617,kom,,0,0,
Selotejp 48mmx66m - Super clear I,569,kom,,0,0,
Šeskant 8x40,50,kom,,0,0,
Široka podloška din9021 M6,596,kom,,0,0,
Široka podloška din9021 M8,1211,kom,,0,0,
Sirova iverica  16 mm B,38,kom,,0,0,
Sirova iverica 10 mm B1,194,kom,,0,0,
"Sirova iverica 16 mm B1 (280x207x0,16)",200,kom,,0,0,
Sirova iverica 18 mm,1206,kom,,0,0,
Sirova iverica 210x280x18,817,kom,,0,0,
Skalper BMX - 672,627,kom,,0,0,
Skrivena PVC nogica 12cm - crna,340,kom,,0,0,
Skrivena štelujuća nogica 13 cm - Crna,220,kom,,0,0,
Skrivena štelujuća nogica 15cm - Crna,864,kom,,0,0,
"Skrivena štelujuća nogica 16,80 cm- Crna",242,kom,,0,0,
Spužva 18kg 210x1 cm,417,kom,,0,0,
"Spužva 210x0,8cm 14 kg rolna",530,kom,,0,0,
Spužva HR 3536 SP,281,kom,,0,0,
Spužva Mljevena,180,kom,,0,0,
Spužva NF 1830 SP,883,kom,,0,0,
Spužva NF 2120 SP,484,kom,,0,0,
Spužva PU Format 20T O,35,kom,,0,0,
Spužva PU Format 25T O,36,kom,,0,0,
Spužva PU Format 30T O,44,kom,,0,0,
Spužva PU Format 35 HR O,93,kom,,0,0,
Spužva VA 4015 SP memory,303,kom,,0,0,
Spužva VA 5015 SP,280,kom,,0,0,
Spužva VH 2130 SP,302,kom,,0,0,
Spužva VH 2130 SP (327),652,kom,,0,0,
Spužva VH 2130 SP (500),651,kom,,0,0,
Spužva VH 2538 SP,232,kom,,0,0,
Spužva VH 3040 SP,486,kom,,0,0,
Spužva VH 3050 SP,300,kom,,0,0,
Spužva VH 3236 SP,485,kom,,0,0,
Štancana kutija - Kartonski poklopac samosklopivi manji/veći,1187,kom,,0,0,
Štep deka Amsterdam 102,74,kom,,0,0,
Štep deka Amsterdam 105,104,kom,,0,0,
Štep deka Amsterdam 110,1429,kom,,0,0,
Štep deka Aragon,510,kom,,0,0,
Štep deka Aurum 126,77,kom,,0,0,
Štep deka Bari,363,kom,,0,0,
Štep deka Jupiter,463,kom,,0,0,
Štep deka Loris,304,kom,,0,0,
Štep deka Luna,461,kom,,0,0,
Štep deka madrac platno,70,kom,,0,0,
Štep deka Mat Velvet,245,kom,,0,0,
Štep deka Monolith,238,kom,,0,0,
Štep deka Monolith 04,103,kom,,0,0,
Štep deka Monolith 84,73,kom,,0,0,
Štep deka Orion,306,kom,,0,0,
Štep deka Perfect Harmony,457,kom,,0,0,
Štep deka Point,186,kom,,0,0,
Štep deka Preston,187,kom,,0,0,
Štep deka Riviera,182,kom,,0,0,
Štep deka Riviera 21,106,kom,,0,0,
Štep deka Riviera 24,107,kom,,0,0,
Štep deka Riviera 82,108,kom,,0,0,
Štep deka Riviera 91,105,kom,,0,0,
Štep deka Tender 37,109,kom,,0,0,
Štep deka Wind,458,kom,,0,0,
Štep deka Zenit,1151,kom,,0,0,
Stick nogice (356) J,250,kom,,0,0,
Štof Adventure 23,1143,kom,,0,0,
Štof Alhambra 101 S,206,kom,,0,0,
Štof Alhambra 118 S,324,kom,,0,0,
Štof Almeria 103 (Bari 102) SE,248,kom,,0,0,
Štof Almeria 105,1386,kom,,0,0,
Štof Almeria 108 (Bari 109) SE,283,kom,,0,0,
Štof Amsterdam 103,209,kom,,0,0,
Štof Amsterdam 105,120,kom,,0,0,
Štof Amsterdam 107,1425,kom,,0,0,
Štof Amsterdam 110,215,kom,,0,0,
Štof Atakama 103 (Bari 102),582,kom,,0,0,
Štof Aurum 107,879,kom,,0,0,
Štof Aurum 118,882,kom,,0,0,
Štof Aurum 121,512,kom,,0,0,
Štof Aurum 126,63,kom,,0,0,
Štof Aurum 127,1376,kom,,0,0,
Štof Bari 101,878,kom,,0,0,
Štof Bari 104,1238,kom,,0,0,
Štof Bari 106,612,kom,,0,0,
Štof Bari 110,330,kom,,0,0,
Štof Barrel 04,938,kom,,0,0,
Štof Barrel 09,960,kom,,0,0,
Štof Barrel 38,1260,kom,,0,0,
Štof Barrel 83,791,kom,,0,0,
Štof Barrel 97,255,kom,,0,0,
Štof Camel 002,699,kom,,0,0,
Štof Camel 101,700,kom,,0,0,
Štof Camel 102,121,kom,,0,0,
Štof Camel 103,615,kom,,0,0,
Štof Camel 105,912,kom,,0,0,
Štof Camel 111,914,kom,,0,0,
Štof Camel 118,616,kom,,0,0,
Štof Camel 135,698,kom,,0,0,
Štof Camel 200,236,kom,,0,0,
Štof CAMEL 201,1317,kom,,0,0,
Štof Castel 04,346,kom,,0,0,
Štof Castel 15,344,kom,,0,0,
Štof Castel 20,1295,kom,,0,0,
Štof Castel 74,377,kom,,0,0,
Štof Castel 93,575,kom,,0,0,
Štof Cloud 03,747,kom,,0,0,
Štof Cloud 33,1067,kom,,0,0,
Štof Cloud 39,978,kom,,0,0,
Štof Cloud 60,748,kom,,0,0,
Štof Cloud 63,574,kom,,0,0,
Štof Cloud 70,1379,kom,,0,0,
Štof Cloud 81,572,kom,,0,0,
Štof Cloud 83,854,kom,,0,0,
Štof Cloud 84,1230,kom,,0,0,
Štof Cloud 87,790,kom,,0,0,
Štof Cloud 91,1065,kom,,0,0,
Štof Cosmic 126,1319,kom,,0,0,
Štof Cremona 02,345,kom,,0,0,
Štof Cremona 14,622,kom,,0,0,
Štof Cremona 81,1296,kom,,0,0,
Štof ELEGANT WISH 02,1297,kom,,0,0,
Štof Europa 103 S,79,kom,,0,0,
Štof Ferrum 102 AL,459,kom,,0,0,
Štof Ferrum 107 UNIJETI KALKULACIJU,1324,kom,,0,0,
Štof Gusto 09,1338,kom,,0,0,
Štof Helena 103,275,kom,,0,0,
Štof Helena 118,277,kom,,0,0,
Štof Helena 135,82,kom,,0,0,
Štof Helena 136,433,kom,,0,0,
Štof Helena 34,191,kom,,0,0,
Štof Helena 79,611,kom,,0,0,
Štof Jasmine 24,625,kom,,0,0,
Štof Jupiter 106,697,kom,,0,0,
Štof Jupiter 108,877,kom,,0,0,
Štof Landscape 21,846,kom,,0,0,
Štof Landscape 95,1149,kom,,0,0,
Štof Letto 03,939,kom,,0,0,
Štof Letto 11,509,kom,,0,0,
Štof Letto 38,979,kom,,0,0,
Štof Letto 75,1017,kom,,0,0,
Štof Letto 80,940,kom,,0,0,
Štof Letto 88,751,kom,,0,0,
Štof Letto 92,941,kom,,0,0,
Štof Letto 93,942,kom,,0,0,
Štof Letto 97,943,kom,,0,0,
Štof Letto 99,944,kom,,0,0,
Štof Lincoln 01,26,kom,,0,0,
