VrstaFixDokument,RedniBroj,Datum,PartnerNaziv,PartnerSifra,ArtikalNaziv,ArtikalSifra,JedinicaMjere,Kolicina,FakturnaCijena,FakturnaVrijednost,DokumentVrijednost,DokumentTrosak,NabavnaCijena,NabavnaVrijednost
null,221,07.05.26,MURSAN DIS TICARET,62,"Metalni profil 20x20x0,8 mm",415,m,965.31,0.7209123207,695.9038723,46374.07882,206.88,0.7241283919,699.008378
null,221,07.05.26,MURSAN DIS TICARET,62,Metalni profili 20x30x1 mm,416,m,6669.11,1.121277115,7477.920422,46374.07882,206.88,1.126279259,7511.280269
null,221,07.05.26,MURSAN DIS TICARET,62,PVC ručka za bazu bijela,536,kom,1750,0.3716077,650.313475,46374.07882,206.88,0.3732654839,653.2145968
null,221,07.05.26,MURSAN DIS TICARET,62,Pištolj za tapaciranje 80/16 AKD,1075,kom,10,153.8455878,1538.455878,46374.07882,206.88,154.5319103,1545.319103
null,221,07.05.26,MURSAN DIS TICARET,62,"Metalni profil 20x20x0,8 mm",415,m,1552.16,0.7208229509,1118.832552,46374.07882,206.88,0.7240386235,1123.82379
null,221,07.05.26,MURSAN DIS TICARET,62,"Ljepilo za spužvu 689,",398,kg,1800,4.113762433,7404.77238,46374.07882,206.88,4.132114392,7437.805905
null,221,07.05.26,MURSAN DIS TICARET,62,Metalni profili 20x30x1 mm,416,m,127.97,1.121350685,143.4992471,46374.07882,206.88,1.126353157,144.1394134
null,221,07.05.26,MURSAN DIS TICARET,62,PVC prsten za kapak 3cm,821,kom,10500,0.08996818,944.66589,46374.07882,206.88,0.09036953821,948.8801512
null,221,07.05.26,MURSAN DIS TICARET,62,"Metalni profil 20x20x0,8 mm",415,m,1812.49,0.7208177048,1306.474882,46374.07882,206.88,0.7240333539,1312.303214
null,221,07.05.26,MURSAN DIS TICARET,62,Metalni profili 20x30x1 mm,416,m,1776.67,1.121282941,1992.149763,46374.07882,206.88,1.126285111,2001.036968
null,221,07.05.26,MURSAN DIS TICARET,62,PVC nogica sa navojem 12 cm crna KRUŠKA,532,kom,4000,0.4107243,1642.8972,46374.07882,206.88,0.4125565875,1650.22635
null,221,07.05.26,MURSAN DIS TICARET,62,PVC zaštitnik (osigurač crveni),820,kom,1000,0.10757065,107.57065,46374.07882,206.88,0.1080505348,108.0505348
null,221,07.05.26,MURSAN DIS TICARET,62,"Metalni profil 20x20x0,8 mm",415,m,3920.4,0.7208194403,2825.900534,46374.07882,206.88,0.7240350972,2838.507195
null,221,07.05.26,MURSAN DIS TICARET,62,"Ljepilo za spužvu 689,",398,kg,960,3.6769604,3529.881984,46374.07882,206.88,3.693363735,3545.629186
null,221,07.05.26,MURSAN DIS TICARET,62,Metalni profili 20x30x1 mm,416,m,339.49,1.121279545,380.6631929,46374.07882,206.88,1.1262817,382.3613744
null,221,07.05.26,MURSAN DIS TICARET,62,PVC zaštitnik za bazu,825,kom,6000,0.03129328,187.75968,46374.07882,206.88,0.03143288285,188.5972971
null,221,07.05.26,MURSAN DIS TICARET,62,Metalni profili 20x30x1 mm,416,m,833.57,1.121146693,934.5542489,46374.07882,206.88,1.126148255,938.7234009
null,221,07.05.26,MURSAN DIS TICARET,62,"Metalni profil 20x20x0,8 mm",415,m,365.67,0.7208335633,263.5872091,46374.07882,206.88,0.7240492832,264.7631014
null,220,06.05.26,MURSAN DIS TICARET,62,Džepičasto jezgro POKET 144x184x15 (65.150.4.180.00.0.0000) 24x29,502,kom,75,41.21846531,3091.384898,45091.01523,191.35,41.3933816,3104.50362
null,220,06.05.26,MURSAN DIS TICARET,62,"Metalni element 9,5 cm za nogice",1091,kom,20000,0.3241113464,6482.226927,45091.01523,191.35,0.325486758,6509.73516
null,220,06.05.26,MURSAN DIS TICARET,62,Džepičasto jezgro POKET 164x184x18 (65.180.4.180.00.0.0000) 27x29,505,kom,225,47.78848944,10752.41012,45091.01523,191.35,47.99128655,10798.03947
null,220,06.05.26,MURSAN DIS TICARET,62,"Jednostrana iverica 210x280x0,8 mm",493,m2,1764,4.614960502,8140.790326,45091.01523,191.35,4.634544729,8175.336903
null,220,06.05.26,MURSAN DIS TICARET,62,Džepičasto jezgro POKET 144x184x18 (65.180.4.180.00.0.0000) 24x29,503,kom,200,42.55553589,8511.107178,45091.01523,191.35,42.73612623,8547.225246
null,220,06.05.26,MURSAN DIS TICARET,62,Džepičasto jezgro POKET 164x184x15(65.150.4.180.00.0.0000) 27x29,504,kom,80,46.31307649,3705.046119,45091.01523,191.35,46.50961247,3720.768998
