RB,Modeli,Naziv,Sifra,opis sadrzaj,VRSTA,GRUPA,Vezani artikli sifra
520,MERLIN,MERLIN M 160X200 krevet + madrac NOVOŽ,1316,KREVET+MADRAC,Gotov proizvod,Metalni,
523,KRK,KRK M 180X200 krevet + madrac,1323,KREVET+MADRAC,Gotov proizvod,Metalni,
559,ELBA,ELBA M M 160X200 krevet + madrac UNIJETI CIJENU,1381,KREVET+MADRAC,Gotov proizvod,Metalni,
597,ELBA,ELBA M M 180X200 krevet + madrac,1437,KREVET+MADRAC,Gotov proizvod,Metalni,
605,MERLIN,MERLIN M 120X200 krevet + madrac NOVO,1446,KREVET+MADRAC,Gotov proizvod,Metalni,
612,MERLIN,MERLIN M 180X200 krevet + madrac,1457,KREVET+MADRAC,Gotov proizvod,Metalni,
613,ELBA,ELBA M M 140x200 krevet + madrac,1459,KREVET+MADRAC,Gotov proizvod,Metalni,
623,NORA,NORA M 160X200 BAZA,1470,BAZA,Gotov proizvod,Metalni,
624,NORA,NORA M 160X200 UZGLAVLJE,1471,UZGLAVLJE,Gotov proizvod,Metalni,
625,NORA,NORA M 160X200 MADRAC,1472,MADRAC,Gotov proizvod,Metalni,
638,EASY,EASY M 160X200 madrac,1491,MADRAC,Gotov proizvod,Metalni,
639,EASY,EASY M 140x200 madrac,1492,MADRAC,Gotov proizvod,Metalni,
640,EASY,EASY M 180X200 madrac,1493,MADRAC,Gotov proizvod,Metalni,
655,KRK,KRK M 180X200 L NADSANDUK,1517,L NADSANDUK,Gotov proizvod,Metalni,
1576,MIA,MIA M 120X200 baza + uzglavlje /,1525,KREVET,Gotov proizvod,Metalni,
1561,ELBA,ELBA M 90x200 krevet + madrac,1530,KREVET+MADRAC,Gotov proizvod,Metalni,
1563,GRAND,GRAND M 120X200 krevet + madrac,1539,KREVET+MADRAC,Gotov proizvod,Metalni,
1575,MERLIN,MERLIN M 90X200 madrac,1552,MADRAC,Gotov proizvod,Metalni,
1570,MERLIN,MERLIN M 120X200 madrac,1553,MADRAC,Gotov proizvod,Metalni,
1571,MERLIN,MERLIN M 140X200 madrac,1554,MADRAC,Gotov proizvod,Metalni,
1572,MERLIN,MERLIN M 160X200 madrac,1555,MADRAC,Gotov proizvod,Metalni,
1574,MERLIN,MERLIN M 180X200 madrac,1556,MADRAC,Gotov proizvod,Metalni,
1577,MONT,MONT M 160X200 baza + uzglavlje /,1557,KREVET,Gotov proizvod,Metalni,
1578,MONT,MONT M 160X200 madrac /,1558,MADRAC,Gotov proizvod,Metalni,
1560,ELBA,ELBA M 180X220 krevet,1567,KREVET,Gotov proizvod,Metalni,
1564,KRK,KRK D 180X200 LIJEVA BAZA,1587,BAZA,Gotov proizvod,Metalni,
